token,pass
H7WAP2RK,1
4T5UHIZG,0
S4APB968,1
G4SROT3A,1
W0LN32CW,1
UL5TROHP,0
XYVDDA7F,1
WIC0A3FP,1
D2EKTNYH,1
VFKNCVRS,1
FCXGY8UA,0
3EZG3TW3,1
N4VC1K77,0
VDAIUMT2,0
BUISKWFT,0
XT046PWB,1
UQIEZ1CD,0
ZE6IGSMF,1
70IZ4BH8,0
30P8LBBM,0
5FM083TW,1
49Y9RUSK,1
4SFDW766,0
KKA1DZIF,1
V0DZWHR5,1
NVRU0MPZ,1
GCZPFI10,1
9YZVG2O5,0
REBQHEQU,1
KX59WAOS,0
BMQ0YNY3,1
MANRN28V,1
W92XH6Y8,1
5VR2RKOU,1
5KFHJR51,0
WPOBJJMO,1
KK86QCSH,1
FDVI3Z1K,0
HLIWKZS9,1
UK2JKGD0,0
O39067WS,0
1TRXYFUI,0
5ZUUH2G8,1
9Z306BRM,1
J3804K3T,1
6948LD06,0
NE04GHNB,1
W8K7NJY3,1
EDZEU4T8,1
7SYK65YH,0
0C7EXWAQ,1
HVGIUUV4,1
W0ZEJ0SY,0
LDW57CTI,0
G7UTHKOM,0
220QN7QL,1
KHYYARPE,0
3HP6O6E7,0
YVJCGWFX,0
EVM5RO4Y,1
GZIZJDYB,0
9MAWUCBZ,0
4BTKDDUI,1
G0EXFM69,1
NF7MIFS3,1
TVM735HS,1
9N0BFS5U,0
1XASPXT8,1
772O5G6A,1
TXJNIW7G,1
G001730C,1
O1B3H7HZ,1
XFZHIMGP,1
QPDMGCZK,0
K0KD4HVK,1
6VGAY15P,0
G8WYARU4,0
KU14VEBS,0
YAISICYC,0
IZV58Z6T,1
J6PLSBIF,0
1KKSQJO5,0
1G3NR7IT,0
JIE9BMZJ,0
TF513OJI,0
NUQ6N6ZH,0
LEXJGO7Z,0
0OVVLPSO,0
DQUYZP2K,1
VQ1ANAFK,0
ICKDTC07,0
J2HZ8WZO,1
Y070HTOH,1
POO5HKU1,0
KH0MYH6L,0
3E0E8LK5,0
MN4C8UC0,1
3KN98G6M,1
GW8RPICE,0
RQJEWJ5F,1
5C8QM5BZ,0
